,answerKey,question,choices
0,C,"John stumbled in the dark trying to find a lamp, but there wasn't one nearby.   It was late and everything was dark.  The entire what was pitch black.","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['country', 'bedroom', 'building', 'store', 'desktop'], dtype=object)}"
1,D,What differs in people living in different parts the world?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['countries', 'space', 'universe', 'thought', 'obesity'],
      dtype=object)}"
2,D,What does a performer stand on?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['dance', 'opera', 'see saw', 'stage', 'party'], dtype=object)}"
3,E,"As one side made advances on the other it seemed it would soon be over, the losers were doomed because not everyone gets to celebrate what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['understood', 'pleasure', 'happy', 'happiness', 'victory in war'],
      dtype=object)}"
4,A,"The convenience was unparalleled, but the traveler was just waiting for the landing at the what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['airport', 'restaurant', 'change planes', 'apartment building',
       'stairwell'], dtype=object)}"
5,C,Where would you put something after an iron has been used on it?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['ironing board', 'house', 'linen closet', 'laundry room',
       'kitchen'], dtype=object)}"
6,D,"The magician guessed it was a king, he was very good with a what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['hierarchy', 'court', 'chess game', 'deck of cards', 'chess set'],
      dtype=object)}"
7,A,What is done to wood to attach something to it?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['nailed', 'carved', 'polished', 'eat cake', 'petrify'],
      dtype=object)}"
8,D,"John went to sleep on his couch and was dreaming that he was fighting a giant whale in the ocean. When he woke up he was outside in the rain, wrestling an inflatable chair.  What was John doing?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['might awaken', 'fantasy', 'watching movie', 'sleepwalking',
       'fear'], dtype=object)}"
9,C,Where would you find a pot with something alive in it?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['kitchen drawer', 'closet', 'greenhouse', 'cupboard', 'restaurant'],
      dtype=object)}"
10,B,What happens to most people after playing tennis all day?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['championship', 'becoming tired', 'tennis elbow', 'victory',
       'friends'], dtype=object)}"
11,C,What is the largest state with a coast in the US?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['new york', 'florida', 'california', 'country', 'united states'],
      dtype=object)}"
12,E,"Things were getting hot and heavy, one of them got a contraceptive from the what of the nightstand?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['condom', 'drug store', 'health center', 'vagina', 'drawer'],
      dtype=object)}"
13,D,"They saw a fox at the park, they tried to get their phones out quickly to get a what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['outside', 'hen house', 'indiana', 'picture', 'phone numbers'],
      dtype=object)}"
14,C,"When you dont want something, you do what to it?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['stockpile', 'refuse', 'reject', 'negative', 'detest'],
      dtype=object)}"
15,A,How would you be living life with at least 2 other people?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['have children', 'get married', 'sorrow', 'learning', 'think'],
      dtype=object)}"
16,E,"If something is very hard but you just manage to be able to do it, it can be called what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['controvertible', 'interesting', 'easy', 'agreeable', 'bearable'],
      dtype=object)}"
17,D,What lawn is most likely to be on a street?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['green yard', 'suburbia', 'golf course', 'front yard', 'michigan'],
      dtype=object)}"
18,C,What is often the result of having lunch too fast?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['spending money', 'sickness', 'heartburn', 'low blood sugar',
       'obesity'], dtype=object)}"
19,C,"Sarah drank from a water fountain, like many before her.  Where might she be?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['city', 'garden', 'public place', 'home', 'rome'], dtype=object)}"
20,C,What will happen after answering questions incorrectly?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['children will learn', 'correct', 'embarassment', 'teaching',
       'better grade'], dtype=object)}"
21,B,Sarah told him to make sure that the bundle was tight. Some fell out because it was what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['broad', 'loose', 'slack', 'windtight', 'crap'], dtype=object)}"
22,E,What type of water transportation is human powered?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['turn away', 'let down', 'have to sleep', 'run', 'row boat'],
      dtype=object)}"
23,A,John needs a screwdriver to take the old blade off of his lawnmower.  Where does John look for his screwdriver?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['toolkit', 'tool belt', 'handyman', 'bar', 'repair shop'],
      dtype=object)}"
24,D,Where is the principal's office?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['hallway', 'work', 'city', 'school building', 'skyscraper'],
      dtype=object)}"
25,D,Where a small stream goes between farms?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['wilderness', 'lake', 'woods', 'countryside', 'forest'],
      dtype=object)}"
26,C,"They play violin, but can't learn others' musical pieces, what couldn't they do?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['calluses', 'take notes', 'read music', 'making music',
       'make noise'], dtype=object)}"
27,A,The woman let her son play with it in his room.  She did not do what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['forbid', 'annoy', 'prohibit', 'stop', 'disallow'], dtype=object)}"
28,E,Where is an expressway unlikely to be found?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['ocean', 'map', 'canada', 'large city', 'country'], dtype=object)}"
29,A,What sort of gathering might business people attend to get updates about their industry?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['convention', 'school', 'opera', 'wedding', 'bus stop'],
      dtype=object)}"
30,D,"When someone is deeply involved while they watch a film, the film must be very?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['ike director', 'have fun', 'see what happens', 'interesting',
       'pass time'], dtype=object)}"
31,E,What would a person do if they saw a bully make a person cry but they wanted no trouble?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['courageous', 'step up', 'keep walking', 'cross street',
       'do nothing'], dtype=object)}"
32,A,"If I am in the southern United States eating crab, where am I likely?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['south carolina', 'louisiana', 'new england', 'maine',
       'chesapeake bay'], dtype=object)}"
33,C,"The child was curious about something, what did he do?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['grow up', 'become adult', 'ask questions', 'play games',
       'acting out'], dtype=object)}"
34,D,"If something is occurring at an altar, what might the occasion be?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['praying', 'temple', 'church services', 'ceremony', 'sanctuary'],
      dtype=object)}"
35,D,"I brought the mail in, where should I put it?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array([""neighbor's house"", 'post office', 'fridge', 'table', 'bathroom'],
      dtype=object)}"
36,C,What is the result of kissing often?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['arousal', 'pleasurable', 'being happy', 'feeling good',
       'sexual excitement'], dtype=object)}"
37,D,Joe worked for the company for years.  He had connections and what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['own factory', 'ship goods', 'office', 'own resources',
       'mail order'], dtype=object)}"
38,E,Where  might someone find lots of homes with a balcony railing?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['theater', 'hotel', 'new orleans', 'theatre', 'apartment complex'],
      dtype=object)}"
39,D,"Curiosity drove the archaeologist, more that the objects themselves he was always looking to what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['make money', 'go somewhere', 'design software', 'find truth',
       'use television'], dtype=object)}"
40,B,Where can you get a bugle to take home with you?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array([""farmer's wife"", 'music store', 'military base', 'military band',
       'american army'], dtype=object)}"
41,D,"A person is choking, what happens to their face?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cross street', 'suffer pain', 'own object', 'turn blue', 'sweat'],
      dtype=object)}"
42,C,The tourist was probably most happy to capture pictures of snow on what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['canada', 'roof', 'mountains', 'ground', 'ground'], dtype=object)}"
