,video-id,fold-ind,startphrase,sent1,sent2,gold-source,ending0,ending1,ending2,ending3,label
0,lsmdc3060_SANCTUM-29482,5937,"Now, as someone coils a handful of rope, he glances at someone who stares off with a stunned gaze, his head propped on his hand. Someone","Now, as someone coils a handful of rope, he glances at someone who stares off with a stunned gaze, his head propped on his hand.",Someone,gold,"smiles, then walks away with a frown.",flows from her knuckles to lead ahead.,shoots someone a disbelieving glance.,crumples the cement assistance.,2
1,anetv_TFIlTCvL4oQ,17445,A woman is seen tubing downhill. a man then,A woman is seen tubing downhill.,a man then,gold,enters her room wearing a black tank top and a curling man.,rides down a dirt hill while other skiers records.,demonstrates how to use a snow tube.,slides across her city and onto a trail.,2
2,lsmdc3089_XMEN_FIRST_CLASS-43481,2539,Someone jumps out of the jet. The young man,Someone jumps out of the jet.,The young man,gold,kicks a backwards hand over the stranger's face.,brings his arms in at his sides and shoots head first into the sea.,catches someone's stomach and hauls him safely aboard.,spins someone a few times then faces the elevator being held by the german force one.,1
3,anetv_7lv1VOxIng4,11638,She sprays body spray on her shirt. She,She sprays body spray on her shirt.,She,gold,spreads her legs back and pose.,hangs in bunches and faces the camera.,puts eye shadow on her eyes.,"pins him down, shivering.",2
4,anetv_ZzarNWOJnro,14038,He swings it at a piece of wood on a stump. He,He swings it at a piece of wood on a stump.,He,gen,places the ax in the trunk of a tree.,raises his hands against the wall of the pipe as she runs the ball.,"removes the wire, all standing in front of him.","scrambles sideways, kicks, and falls down to the ground.",0
5,anetv_15HUSdsIHxg,9465,"After, the little girls spins on the floor, then continue jumping and spinning around. Next, the girls","After, the little girls spins on the floor, then continue jumping and spinning around.","Next, the girls",gen,twirl their feet and left.,do a rope routine together.,jump right after the girls plays.,continue to ball up and around on the beam.,1
6,lsmdc3060_SANCTUM-29428,4694,He looks at more shimmering blood on his palm and makes a fist. He,He looks at more shimmering blood on his palm and makes a fist.,He,gen,places a hand on the back of his head and stares at it.,jumps toward someone as he turns to someone with some tears.,slips off his back as he sees someone walking.,runs through the crowd then stops and stares after him as he stands.,1
7,lsmdc0033_Amadeus-66653,16035,"The Archbishop goes to his throne and sits. Instead, a wind musician",The Archbishop goes to his throne and sits.,"Instead, a wind musician",gen,enters the front room.,comes inside of the classroom with a bag of pipes and wall drumsticks.,talks and resumes playing.,takes a huge leap through the city.,2
8,lsmdc3080_THIS_MEANS_WAR-37105,12793,"Crossing the office, he glances over her outfit. Looking back, she","Crossing the office, he glances over her outfit.","Looking back, she",gen,sees a tv and duffle load onto equipment in back.,finds how cold his eye and scoffs.,notices the humanoid gap at the roof of a ascend.,releases the photo photo toward him.,1
9,lsmdc0020_Raising_Arizona-57237,4487,"Florence is holding one of the babies cradled against her shoulder. The baby, peeping out over her shoulder,",Florence is holding one of the babies cradled against her shoulder.,"The baby, peeping out over her shoulder,",gold,stumbles down down the stream.,puts her happier in her lap.,walks toward the pub.,is facing the window.,3
10,lsmdc1005_Signs-4487,1216,"Someone carefully pours the water into a metal dog bowl, and slides it across the grass to Houdini. The Alsatian suddenly","Someone carefully pours the water into a metal dog bowl, and slides it across the grass to Houdini.",The Alsatian suddenly,gold,jerks his head up towards someone.,cuts off the people's face.,falls from it and smashes it repeatedly.,emerges from the cabin.,0
11,lsmdc3066_THE_ADVENTURES_OF_TINTIN-31802,11894,"Sir someone grabs a sword. Walking backward, Sir someone",Sir someone grabs a sword.,"Walking backward, Sir someone",gen,knocks him both down a staircase onto a balcony.,hands someone the device as someone fires a rocket into the submarine.,crawls to a tree near flames.,"shoots him, knocking him through to the ground.",0
12,lsmdc3047_LIFE_OF_PI-22387,10594,"His head held high, he snaps his jaws at one and misses. Looking on, someone","His head held high, he snaps his jaws at one and misses.","Looking on, someone",gold,"unbuttons the t - shirt, clutches his teeth and guides it.",spins with his gun aimed at the soldier's face.,allows an amused smile.,pulls a lever which lights up within a fist.,2
13,lsmdc1029_Pride_And_Prejudice_Disk_One-83666,10613,"As they make their way up a flight of steps, someone spots someone looking out of a window. He","As they make their way up a flight of steps, someone spots someone looking out of a window.",He,gold,packs in the cage and places an ornate scarf around her waist.,climbs into the driver seat.,"turns, kisses her forehead, then smirks.","catches her eye, then turns away.",3
14,lsmdc1039_The_Queen-88010,3404,He puts the phone down. Someone,He puts the phone down.,Someone,gen,looks at the folder lying on the ground.,looks at the phone.,"flinches, and gets up.",rests her head on someone's shoulder.,1
15,lsmdc1055_Marley_and_me-96476,13610,The people are asleep as Marley busies himself chewing some of someone's socks. He then,The people are asleep as Marley busies himself chewing some of someone's socks.,He then,gen,sleeps with his arms against his hips.,looks against someone's friend's eyes.,moves low on the edge of a bridge like a lawn pushed away from the trees.,"bounces on the back of his hand, wrapped in his shirt, over his head, and begins his belt.",0
16,anetv_VceicZDzH3U,9814,The man goes to the sink then leaves the room and comes back. The man,The man goes to the sink then leaves the room and comes back.,The man,gen,is collecting dishes inside the sink.,bumps with a toothbrush and then removes the towel.,lightly licks his cream navel then sets the glass down next to the sink.,"reaches for a cookie sheet, and sits it up on it.",0
17,lsmdc1026_Legion-5789,7271,Someone holds his lighter out to a gas tap at the base of an oven. He,Someone holds his lighter out to a gas tap at the base of an oven.,He,gold,searches several stacks of cds.,wax to it pours in a frenzy.,looks up at someone.,gets out of his car and closes the gate.,2
18,anetv_4o1k3KUHz6E,17464,We see a mascot roll a ball to home plate and fall when its kicked back and hits him. We then,We see a mascot roll a ball to home plate and fall when its kicked back and hits him.,We then,gold,see several screens with four poles that we circle host legs and high scenes.,see the mascot kick the ball and run a home run.,see underwater in the picture of a naked boy holding a skateboard in his hands.,see the tree win the field and our replay is replayed.,1
19,anetv_a0Zlu4AvdnI,17096,A woman is seen speaking to the camera and making a piece sign. She,A woman is seen speaking to the camera and making a piece sign.,She,gold,places a large tool into the woman's mouth and pours them into it.,starts climbing a log and begins putting on larger shoes when she is ready.,tapes the paper with the hands of the vacuum.,points to a person mowing the lawn in the distance.,3
20,anetv_5ry-UTd0y_o,15806,We see a lady ride as she holds a camera. We,We see a lady ride as she holds a camera.,We,gen,see the lady put the tire back out.,see the ending title screen.,"see the woman in position, and hung up.",see the lady riding the camel.,3
21,lsmdc3088_WHATS_YOUR_NUMBER-42033,4194,He lifts the dishrag covering his genitals and dabs at his mouth. Someone,He lifts the dishrag covering his genitals and dabs at his mouth.,Someone,gold,trundles up a chimney in front of the house.,"stares down at the children, then leaves the table into the tunnel.",storms back to her apartment.,sits by him on the phone.,2
22,lsmdc0032_The_Princess_Bride-65994,4628,All three are strapped to someone like papooses. And he,All three are strapped to someone like papooses.,And he,gold,"turns to him, singing back at the keyboard.",seems more startled about his frosty sticking third.,sticks a white unblinking back to them.,"starts to ascend the rope, carrying them all along with him as he goes.",3
23,anetv_4ZyPBOe4P0U,13007,A man in a tan shirt is talking. He,A man in a tan shirt is talking.,He,gold,plays a drum set.,uses a long hose to play with a kit.,sets his tennis racket down on the ground.,is using an electric shaver to lift a blue razor.,2
24,lsmdc3072_THE_GIRL_WITH_THE_DRAGON_TATTOO-33658,16374,"Now helpless, he raises his head. Sitting partially hidden in a chair on the other side of a bureau, someone","Now helpless, he raises his head.","Sitting partially hidden in a chair on the other side of a bureau, someone",gen,has indicated a light shining into the wall.,presses a gently paw against his leg.,shakes out his head.,hands someone the book.,3
25,lsmdc1026_Legion-5789,7306,He lunges at someone with the knife. Someone,He lunges at someone with the knife.,Someone,gold,sets aside her knife to sharpen.,"gently taps someone's cheek and presses the tip of the spear its neck, which drops to the forearm.",hacks him with his sword.,eyes him uncertainly as someone returns to the tree.,2
26,lsmdc3009_BATTLE_LOS_ANGELES-351,15988,The Marines all load fresh ammo clips. The vet,The Marines all load fresh ammo clips.,The vet,gen,tosses the slip of device onto his shoulder.,backs repeatedly on someone and punches someone in the stomach.,blows an enraged kiss as if to speak.,goes over to greet someone.,3
27,lsmdc3056_PUBLIC_ENEMIES-3572,5511,She holds a telephone at her shoulder. He,She holds a telephone at her shoulder.,He,gen,won't have changed.,"faces her smugly, and watches them leave.",peeks as she.,"watches, blinking, pensively.",3
28,anetv_0VVNybUx7DE,351,A pack of instant noodles is shown. Two children,A pack of instant noodles is shown.,Two children,gold,pour the contents into a bowl and begin to peel themselves.,walk around a slack line.,are shown smiling at the camera.,are talking in front of a trailer.,2
29,anetv_IZNrdIkMCoc,1309,A guy is bending over and touching the floor. The guy,A guy is bending over and touching the floor.,The guy,gold,is doing karate moves on a tiled floor.,holds a ball and talks to the camera between him.,is running on the floor again.,picks up a tool before turning it to the drum of the guy.,0
